"document_id","source_url","source_name","author_name","author_handle","author_bio","title","excerpt","published_at","country","platform","source_group_silver","author_identity_silver","communication_intent_silver","publication_archetype_silver","evidence_class_silver","authority_level_silver","evidence_role_silver","commercial_intent_silver","is_promotional_silver","is_secondary_voice_silver","medical_aesthetics_relevance_silver","theme_ids_silver","classification_confidence","ontology_confidence","evidence_quality_score","evidence_quality_band","review_priority","label_version","label_rationale","human_author_identity_gold","human_communication_intent_gold","human_publication_archetype_gold","human_evidence_class_gold","human_commercial_intent_gold","human_is_promotional_gold","human_medical_aesthetics_relevance_gold","reviewer_confidence","reviewer_id","adjudication_status","notes"
"""""""pvP4QwwIOCmSUlYRspsAi6nztuY""""""","https://www.appliedtechnologynews.com/article/908765319-reno-plastic-surgeons-outline-non-surgical-aesthetic-treatments-to-preserve-facelift-results","Applied Technology News","","","","Reno Plastic Surgeons Outline Non-Surgical Aesthetic Treatments to Preserve Facelift Results","em>Injectable treatments also remain a cornerstone of non-surgical facial rejuvenation. Dermal fillers restore volume lost due to aging, ...","2026-04-29T14:37","United States","online news","media","journalist","news_reporting","news_article","consumer_news","editorial","market_context","none","no","no","profile_supported_needs_review","","0.67","0.75","44","low","medium","medical_aesthetics_silver_v1","No meaningful commercial-intent signals detected | Contains treatment or outcome discussion | News or reporting publication structure | No validated research indicators | Publication classified as news article | Intent selected by precedence","","","","","","","","","","unreviewed_machine_prelabel",""
"""""""cZoS08Xv9BTudFodJrPprdBh2Yg""""""","https://antenna.jp/articles/30878742","Antenna","","","","日本美容外科学会誌（JSAS）にTCBの研究論文４編が掲載。掲載論文の3分の2をTCBによる研究が占めました。","Trends in Cosmetic Surgery: ...","2026-01-26T02:00","Japan","online news","media","journalist","news_reporting","news_article","consumer_news","editorial","market_context","none","no","no","profile_supported_needs_review","","0.67","0.76","44","low","medium","medical_aesthetics_silver_v1","No meaningful commercial-intent signals detected | News or reporting publication structure | No validated research indicators | Publication classified as news article | Intent selected by precedence | Mapped from publication type: news_article","","","","","","","","","","unreviewed_machine_prelabel",""
"""""""rhU_CVPjpyiEgFBINvq-19ZwYoo""""""","https://firstnews.co.in/businesswireindia/?for=N&Value=EJ6F6fWdOhVp9%2BCh8H5koQh1kKIg%2F5Uaegj9GK8u0we9Cgg%2F1JYDzyANHgM%3D","First News","","","","AMWC 2026: Galderma Showcases Category‑leading Innovation With a Comprehensive Portfolio and Holistic, Future‑focused Aesthetic Strategies","... and services that span the full spectrum of the fast-growing dermatology market through Injectable Aesthetics, Dermatological Skincare ...","2026-03-17T02:41","India","online news","company","brand","brand_announcement","press_release","corporate_pr","commercial","commercial_signal","none","yes","no","profile_supported_needs_review","","0.72","0.83","4","very_low","medium","medical_aesthetics_silver_v1","No meaningful commercial-intent signals detected | Contains treatment or outcome discussion | Publication is classified as a press release | No validated research indicators | Press release establishes announcement intent | Intent selected by semantic_override","","","","","","","","","","unreviewed_machine_prelabel",""
"""""""zYQBVGacgeu1QZt0ELAFBzhuYqs""""""","https://aeworld.com/beauty/the-skin-reset-the-latest-products-for-clean-refreshed-skin/","Adam&Eve (a&e) Magazine","","","","The Skin Reset: The latest products for clean, refreshed skin","L’Extrait Huile Lèvres is both a skincare innovation and an object of desire. It embodies the quintessence of Chanel: where science, ...","2026-02-16T05:11","United Arab Emirates","online news","media","journalist","news_reporting","news_article","consumer_news","editorial","market_context","none","no","no","theme_supported","natural_results","0.68","0.78","44","low","medium","medical_aesthetics_silver_v1","No meaningful commercial-intent signals detected | News or reporting publication structure | No validated research indicators | Publication classified as news article | Intent selected by precedence | Mapped from publication type: news_article","","","","","","","","","","unreviewed_machine_prelabel",""
"""""""8TyQ3AEMrK8q1m6eSh8ud8Hv2p4""""""","https://ie.pinterest.com/pin/418412621661325794/","Pinterest","Sparkle.spectrumm","karolfriasll","","From brightening ✨ to plumping 💧 and pore-refining 💜 — these 3 serums are my skincare must-haves! 🍋 Vitamin Illuminating → glow & even tone 🌿 Bakuchiol Plumping → smooth & bouncy skin 💜 Purple PDRN → refined pores & glass skin vibes","From brightening ✨ to plumping 💧 and pore-refining 💜 — these 3 serums are my skincare must-haves! 🍋 Vitamin Illuminating → glow & even tone 🌿 Bakuchiol Plumping → smooth & bouncy skin 💜 Purple PDRN → refined pores & glass skin vibes","2026-06-08T04:25","","social network","other","community_member","testimonial","community_review","unknown","community","noise_or_low_trust","none","no","no","theme_supported","regenerative_biology","0.53","0.56","27","very_low","high","medical_aesthetics_silver_v1","No meaningful commercial-intent signals detected | Publication type supports social or community conversation | Contains first-person language | Author metadata exists, but it does not establish a reliable voice category | No validated research indicators | Pinterest consumer recommendation","","","","","","","","","","unreviewed_machine_prelabel",""
"""""""yt-igOoZk0RV9o""""""","https://www.youtube.com/watch?v=igOoZk0RV9o","Youtube","My Injection Training","","","Why Everyone Is Switching to Microneedling for Anti-Aging","patients moving away from invasive cosmetic procedures? At Regen Summit 2025, medical aesthetics expert Jenna Jeffries breaks down the future of anti-aging treatments, collagen stimulation, microneedling, skin rejuvenation, and minimally invasive aesthetics. This session also","2026-06-10T18:45","","social network","provider_hcp","provider","provider_education","educational_video","provider_conversation","professional","professional_interpretation","none","no","no","theme_supported","collagen_biostimulation|provider_led_trust","0.74","0.80","97","very_high","medium","medical_aesthetics_silver_v1","Domain rule: youtube.com | No meaningful commercial-intent signals detected | Publication type supports social or community conversation | Contains treatment or outcome discussion | Author metadata exists, but it does not establish a reliable voice category | No validated research indicators","","","","","","","","","","unreviewed_machine_prelabel",""
"""""""yt-q0JtPp4seCM""""""","https://www.youtube.com/watch?v=q0JtPp4seCM","Youtube","Renūd MedSpa","","","Best Way To Preserve Your Skin & Look Younger #radiesse #naturalresults #injectables","Best Way To Preserve Your Skin & Look Younger #radiesse #naturalresults #injectables","2026-06-12T13:09","","social network","company","clinic","clinic_promotion","promotional_video","clinic_marketing","commercial","commercial_signal","none","yes","no","theme_supported","collagen_biostimulation","0.71","0.75","15","very_low","medium","medical_aesthetics_silver_v1","Domain rule: youtube.com | No meaningful commercial-intent signals detected | Publication type supports social or community conversation | Contains treatment or outcome discussion | Author metadata exists, but it does not establish a reliable voice category | No validated research indicators","","","","","","","","","","unreviewed_machine_prelabel",""
"""""""li_gmw-PcnR7T4zs_XkxWV0751TFeI""""""","https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7458551428949696512","LinkedIn","","","","","with our Ethos Experts. Last week, five members of our Ethos Aesthetics + Wellness clinical team attended the Revision Skincare® Longevity Lounge, Revision’s first ever New York City event dedicated to the future of skin longevity, patient outcomes, and practice growth. Ethos was","2026-05-08T12:20","","social network","other","event_organizer","event_promotion","brand_social_post","event_or_conference","commercial","commercial_signal","none","yes","no","profile_supported_needs_review","","0.66","0.64","50","low","medium","medical_aesthetics_silver_v1","Domain rule: linkedin.com | No meaningful commercial-intent signals detected | Publication type supports social or community conversation | Contains first-person language | Contains treatment or outcome discussion | Contains clinical discussion language","","","","","","","","","","unreviewed_machine_prelabel",""
"""""""kj2Xy4MXZNzbQ83G2Ks7R8gRYVg""""""","https://www.virginiastemnews.com/article/910507145-sofwave-medical-reports-first-quarter-fiscal-2026-financial-results-and-business-highlights","Virginia STEM News","","","","Sofwave Medical Reports First Quarter Fiscal 2026 Financial Results and Business Highlights","... demand for effective, non-invasive regenerative aesthetic solutions,” Mr. Scafuri concluded. Dr. Shimon Eckhouse, Chairman of the Board, ...","2026-05-05T08:39","United States","online news","media","journalist","news_reporting","news_article","consumer_news","editorial","market_context","none","no","no","profile_supported_needs_review","","0.67","0.76","44","low","medium","medical_aesthetics_silver_v1","No meaningful commercial-intent signals detected | Contains treatment or outcome discussion | News or reporting publication structure | No validated research indicators | Publication classified as news article | Intent selected by precedence","","","","","","","","","","unreviewed_machine_prelabel",""
"""""""1771820752000_MFz10ppfxsKPBURI9wGifg9q55wA""""""","https://twitter.com/Freyamummyfot/statuses/2025789181130326109","Twitter","Freya","@freyamummyfot","","","#SKINTIFICTH #SKTTH #SKINTIFICPDRN #มอยส์ผิวเบบี้ #SKINTIFICXFOURT #Fourthnattawat #โฟร์ทณัฐวรรธน์ 💖 SKINTIFIC PDRN — The Most Innovative Moisturizer with Clinical Results 🔬✨ SKINTIFIC PDRN Bright & Smooth Moisture Gel ที่สุดของมอยเจอร์ไรเซอร์จาก SKINTIFIC ที่ผ่านการทดสอบแล้ว","2026-02-22T23:25","","social network","provider_hcp","provider","unknown","social_repost","provider_conversation","professional","noise_or_low_trust","none","no","yes","theme_supported","regenerative_biology","0.61","0.57","97","very_high","high","medical_aesthetics_silver_v1","Domain rule: twitter.com | No meaningful commercial-intent signals detected | Publication type supports social or community conversation | Contains treatment or outcome discussion | Author metadata exists, but it does not establish a reliable voice category | No validated research indicators","","","","","","","","","","unreviewed_machine_prelabel",""
