"review_order","document_id","source_url","source_name","author_name","author_handle","title","excerpt","published_at","country","platform","theme_ids_silver","silver_source_group","silver_author_identity","silver_communication_intent","silver_publication_archetype","silver_evidence_class","silver_commercial_intent","silver_is_promotional","silver_relevance","ai_review_source_group","ai_review_author_identity","ai_review_communication_intent","ai_review_publication_archetype","ai_review_evidence_class","ai_review_commercial_intent","ai_review_is_promotional","ai_review_relevance","ai_review_disposition","ai_review_confidence","ai_review_reason","review_version","human_author_identity_gold","human_communication_intent_gold","human_publication_archetype_gold","human_evidence_class_gold","human_commercial_intent_gold","human_is_promotional_gold","human_medical_aesthetics_relevance_gold","reviewer_confidence","reviewer_id","adjudication_status","notes"
"1","""""""1768413542000_1c4O5vxu0wKz4WHIPvBwATKagA8A""""""","https://twitter.com/arinastsya/statuses/2011498304182550955","Twitter","RAN","@arinastsya","","@azmiavan: My skin booster Nucleofil treatment, retinol serum, moisturizer, sunscreen, monthly facial treatment be like: 🙂 https://t.co/NYSnk9nBBU ; @Fearman86938 @KSubktkn Minum air putih cukup, hindari gorengan, kurangi konsumsi gula. Percuma di kasih skin care makan masih ' '","2026-01-14T12:59","","social network","skin_quality_over_volume","other","unknown","unknown","social_quote","unknown","none","no","theme_supported","other","community_member","community_discussion","social_quote","community_conversation","none","no","theme_supported","proposed_correction","medium","The record is a repost, quote, or reply and should be labeled by the posting account. | The posting account must not inherit the identity of embedded content.","medical_aesthetics_ai_review_v1","","","","","","","","","","ai_reviewed_pending_human",""
"2","""""""1768828492000_HFTUAwwIsjH6wAcLmE0XyCIJu6sA""""""","https://twitter.com/uglowgirls/statuses/2013238731386339464","Twitter","yooaremyboo💫","@uglowgirls","","วัย ขวดนี้เป็นเหมือน Serum เพาะเลี้ยงผิว เติมพลังให้ผิวในอัตราส่วนที่พอเหมาะ ให้ผิวทำงานได้ดีที่สุดตามวัย ตอบโจทย์ Skin Longevity Postbiotic : Bifida Ferment Lysate + Saccharomyces Cerevisiae Extract + Sphingomonas Ferment Extract ได้ผิวแข็งแรง + กระจ่างใส ผลัดผิว, ลดรอย : HEPES,","2026-01-19T08:14","","social network","","other","unknown","unknown","social_repost","unknown","none","no","profile_supported_needs_review","other","community_member","community_discussion","social_repost","community_conversation","none","no","profile_supported_needs_review","proposed_correction","medium","The record is a repost, quote, or reply and should be labeled by the posting account. | The posting account must not inherit the identity of embedded content.","medical_aesthetics_ai_review_v1","","","","","","","","","","ai_reviewed_pending_human",""
"3","""""""1768829043000_LPZ7uDncWRQwrtipIh1ku9Wf3QkA""""""","https://twitter.com/dnflwlswndi_/statuses/2013241041273643346","Twitter","The Empress✨🏹","@dnflwlswndi_","","วัย ขวดนี้เป็นเหมือน Serum เพาะเลี้ยงผิว เติมพลังให้ผิวในอัตราส่วนที่พอเหมาะ ให้ผิวทำงานได้ดีที่สุดตามวัย ตอบโจทย์ Skin Longevity Postbiotic : Bifida Ferment Lysate + Saccharomyces Cerevisiae Extract + Sphingomonas Ferment Extract ได้ผิวแข็งแรง + กระจ่างใส ผลัดผิว, ลดรอย : HEPES,","2026-01-19T08:24","Thailand","social network","","other","unknown","unknown","social_repost","unknown","none","no","profile_supported_needs_review","other","community_member","community_discussion","social_repost","community_conversation","none","no","profile_supported_needs_review","proposed_correction","medium","The record is a repost, quote, or reply and should be labeled by the posting account. | The posting account must not inherit the identity of embedded content.","medical_aesthetics_ai_review_v1","","","","","","","","","","ai_reviewed_pending_human",""
"4","""""""1768840798000_xB8606O4YUtQeE8s-kKUXXOeE_EA""""""","https://twitter.com/ssoo666_so/statuses/2013290346000560589","Twitter","最高の時間でした。👾🤖","@ssoo666_so","","วัย ขวดนี้เป็นเหมือน Serum เพาะเลี้ยงผิว เติมพลังให้ผิวในอัตราส่วนที่พอเหมาะ ให้ผิวทำงานได้ดีที่สุดตามวัย ตอบโจทย์ Skin Longevity Postbiotic : Bifida Ferment Lysate + Saccharomyces Cerevisiae Extract + Sphingomonas Ferment Extract ได้ผิวแข็งแรง + กระจ่างใส ผลัดผิว, ลดรอย : HEPES,","2026-01-19T11:39","","social network","","other","unknown","unknown","social_repost","unknown","none","no","profile_supported_needs_review","other","community_member","community_discussion","social_repost","community_conversation","none","no","profile_supported_needs_review","proposed_correction","medium","The record is a repost, quote, or reply and should be labeled by the posting account. | The posting account must not inherit the identity of embedded content.","medical_aesthetics_ai_review_v1","","","","","","","","","","ai_reviewed_pending_human",""
"5","""""""1768845016000_wBb__0oB4kij5rLsVRuErShIDgAA""""""","https://twitter.com/AUMonium/statuses/2013308038078439743","Twitter","อ้ำอกอ้ำใจ","@aumonium","","วัย ขวดนี้เป็นเหมือน Serum เพาะเลี้ยงผิว เติมพลังให้ผิวในอัตราส่วนที่พอเหมาะ ให้ผิวทำงานได้ดีที่สุดตามวัย ตอบโจทย์ Skin Longevity Postbiotic : Bifida Ferment Lysate + Saccharomyces Cerevisiae Extract + Sphingomonas Ferment Extract ได้ผิวแข็งแรง + กระจ่างใส ผลัดผิว, ลดรอย : HEPES,","2026-01-19T12:50","Thailand","social network","","other","unknown","unknown","social_quote","unknown","none","no","profile_supported_needs_review","other","community_member","community_discussion","social_quote","community_conversation","none","no","profile_supported_needs_review","proposed_correction","medium","The record is a repost, quote, or reply and should be labeled by the posting account. | The posting account must not inherit the identity of embedded content.","medical_aesthetics_ai_review_v1","","","","","","","","","","ai_reviewed_pending_human",""
"6","""""""1768871934000_vAaT-NdXBv-qg4qbM4q6kLCtqk4A""""""","https://twitter.com/haveawnderful4/statuses/2013420939254300771","Twitter","Have a wonderfulday","@haveawnderful4","","วัย ขวดนี้เป็นเหมือน Serum เพาะเลี้ยงผิว เติมพลังให้ผิวในอัตราส่วนที่พอเหมาะ ให้ผิวทำงานได้ดีที่สุดตามวัย ตอบโจทย์ Skin Longevity Postbiotic : Bifida Ferment Lysate + Saccharomyces Cerevisiae Extract + Sphingomonas Ferment Extract ได้ผิวแข็งแรง + กระจ่างใส ผลัดผิว, ลดรอย : HEPES,","2026-01-19T20:18","","social network","","other","unknown","unknown","social_repost","unknown","none","no","profile_supported_needs_review","other","community_member","community_discussion","social_repost","community_conversation","none","no","profile_supported_needs_review","proposed_correction","medium","The record is a repost, quote, or reply and should be labeled by the posting account. | The posting account must not inherit the identity of embedded content.","medical_aesthetics_ai_review_v1","","","","","","","","","","ai_reviewed_pending_human",""
"7","""""""1769316694000_0AIDiSAX7B4u-lJ98jCY0b3rErYA""""""","https://twitter.com/krishworlds/statuses/2015286401525510282","Twitter","B G KRISHNA","@krishworlds","","RT @CNNnews18: Skin Boosters Vs Facials: Which One Gives Long-Lasting Results? #Skincare #Lifestyle https://t.co/IX20hOo7da","2026-01-24T23:51","","social network","skin_quality_over_volume","other","unknown","unknown","social_repost","unknown","none","no","theme_supported","other","community_member","community_discussion","social_repost","community_conversation","none","no","theme_supported","proposed_correction","medium","The record is a repost, quote, or reply and should be labeled by the posting account. | The posting account must not inherit the identity of embedded content.","medical_aesthetics_ai_review_v1","","","","","","","","","","ai_reviewed_pending_human",""
"8","""""""1771567499000_SILhgi2mir-PVkOg_VKc-2OZP0MA""""""","https://twitter.com/grok/statuses/2024726958370660808","Twitter","Grok","@grok","","These facial injections (human collagen, salmon sperm polynucleotides, stem cells) may boost collagen production, improve hydration, elasticity, and texture, reduce wrinkles, and aid skin regeneration. Results vary; potential risks include redness, swelling, or rare allergies.","2026-02-20T01:04","","social network","skin_quality_over_volume|collagen_biostimulation|regenerative_biology","other","unknown","unknown","social_reply","unknown","none","no","theme_supported","other","community_member","community_discussion","social_reply","community_conversation","none","no","theme_supported","proposed_correction","medium","The record is a repost, quote, or reply and should be labeled by the posting account. | The posting account must not inherit the identity of embedded content.","medical_aesthetics_ai_review_v1","","","","","","","","","","ai_reviewed_pending_human",""
"9","""""""1771817565000_F3gAYuaTgAsh3Fl3N_lJYNRK2QwA""""""","https://twitter.com/JSuranya/statuses/2025775812042170758","Twitter","Süränyä_ J","@jsuranya","","#SKINTIFICTH #SKTTH #SKINTIFICPDRN #มอยส์ผิวเบบี้ #SKINTIFICXFOURT #Fourthnattawat #โฟร์ทณัฐวรรธน์ 💖 SKINTIFIC PDRN — The Most Innovative Moisturizer with Clinical Results 🔬✨ SKINTIFIC PDRN Bright & Smooth Moisture Gel ที่สุดของมอยเจอร์ไรเซอร์จาก SKINTIFIC ที่ผ่านการทดสอบแล้ว","2026-02-22T22:32","","social network","regenerative_biology","provider_hcp","provider","unknown","social_repost","provider_conversation","none","no","theme_supported","other","community_member","community_discussion","social_repost","community_conversation","none","no","theme_supported","proposed_correction","medium","The record is a repost, quote, or reply and should be labeled by the posting account. | The posting account must not inherit the identity of embedded content.","medical_aesthetics_ai_review_v1","","","","","","","","","","ai_reviewed_pending_human",""
"10","""""""1771820752000_MFz10ppfxsKPBURI9wGifg9q55wA""""""","https://twitter.com/Freyamummyfot/statuses/2025789181130326109","Twitter","Freya","@freyamummyfot","","#SKINTIFICTH #SKTTH #SKINTIFICPDRN #มอยส์ผิวเบบี้ #SKINTIFICXFOURT #Fourthnattawat #โฟร์ทณัฐวรรธน์ 💖 SKINTIFIC PDRN — The Most Innovative Moisturizer with Clinical Results 🔬✨ SKINTIFIC PDRN Bright & Smooth Moisture Gel ที่สุดของมอยเจอร์ไรเซอร์จาก SKINTIFIC ที่ผ่านการทดสอบแล้ว","2026-02-22T23:25","","social network","regenerative_biology","provider_hcp","provider","unknown","social_repost","provider_conversation","none","no","theme_supported","other","community_member","community_discussion","social_repost","community_conversation","none","no","theme_supported","proposed_correction","medium","The record is a repost, quote, or reply and should be labeled by the posting account. | The posting account must not inherit the identity of embedded content.","medical_aesthetics_ai_review_v1","","","","","","","","","","ai_reviewed_pending_human",""
